sku,product_state,state_source,evidence_first_month_units,evidence_last_month_units,evidence_max_monthly_increase
DENIGELLA090,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DENIGELLA160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DENOEMIE090,active,HEURISTIC_PROXY,5.0,6.0,4.0
DEREINE060,active,HEURISTIC_PROXY,6.0,3.0,3.0
DEREINE090,active,HEURISTIC_PROXY,7.0,8.0,3.0
DESNAPDRAGON090,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DESNAPDRAGON160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DESNAPDRAGON200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DKABI080,phase_out,HEURISTIC_PROXY,11.0,2.0,2.0
DKABI080T,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DKABI160,active,HEURISTIC_PROXY,7.0,5.0,5.0
DKARTE140,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DKDOTSGR080,phase_out,HEURISTIC_PROXY,9.0,2.0,1.0
DKDOTSGR160,phase_out,HEURISTIC_PROXY,4.0,1.0,0.0
DKDOTSTQ080,phase_out,HEURISTIC_PROXY,5.0,0.0,0.0
DKELAZIZ130,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DKFORTCR080,active,HEURISTIC_PROXY,12.0,6.0,3.0
DKFORTCR080T,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DKFORTCR160,phase_out,HEURISTIC_PROXY,6.0,1.0,0.0
DKFORTGR080,active,HEURISTIC_PROXY,9.0,8.0,4.0
DKFORTGR120,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
DKFORTIV080,phase_out,HEURISTIC_PROXY,8.0,2.0,1.0
DKFORTIV160,phase_out,HEURISTIC_PROXY,6.0,2.0,1.0
DKGOLDISH080,phase_out,HEURISTIC_PROXY,4.0,2.0,2.0
DKKITTY080,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DKMARKY120,phase_out,HEURISTIC_PROXY,2.0,1.0,1.0
DKMARKY200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DKMATINA080,phase_out,HEURISTIC_PROXY,15.0,0.0,0.0
DKMATINA080T,phase_out,HEURISTIC_PROXY,4.0,1.0,0.0
DKMATINA130,phase_out,HEURISTIC_PROXY,5.0,0.0,0.0
DKMATINA160,phase_out,HEURISTIC_PROXY,8.0,1.0,0.0
DKMATINA200,phase_out,HEURISTIC_PROXY,3.0,1.0,0.0
DKMICROBE050,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DKMICROBE080,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
DKMICROBE160,phase_out,HEURISTIC_PROXY,4.0,1.0,0.0
DKMICROBL160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DKMICRODKBE133,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
DKMICRODKBE160,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
DKMICRODKGR160,phase_out,HEURISTIC_PROXY,3.0,0.0,0.0
DKMICRODKGR200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DKMICROLGR133,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
